League,Season,Team,HomeMatches,HomeGoalsFor,HomeGoalsAgainst,HomeShots,HomeShotsOnTarget,HomeCards,AwayMatches,AwayGoalsFor,AwayGoalsAgainst,AwayShots,AwayShotsOnTarget,AwayCards,GoalScoringHomeGap,ShotHomeGap
Bundesliga (Germany),2006/07,Aachen,17,1.6470588235294117,2.176470588235294,14.470588235294118,8.588235294117647,2.1176470588235294,17,1.0588235294117647,1.9411764705882353,9.882352941176471,5.588235294117647,2.176470588235294,0.588235294117647,4.588235294117647
Bundesliga (Germany),2006/07,Bayern Munich,17,1.7058823529411764,0.8235294117647058,16.764705882352942,9.941176470588236,1.3529411764705883,17,1.5294117647058822,1.5294117647058822,16.294117647058822,9.176470588235293,2.0588235294117645,0.17647058823529416,0.47058823529411953
Bundesliga (Germany),2006/07,Bielefeld,17,1.7058823529411764,1.411764705882353,13.235294117647058,7.235294117647059,1.4705882352941178,17,1.0588235294117647,1.4705882352941178,10.0,5.882352941176471,1.588235294117647,0.6470588235294117,3.235294117647058
Bundesliga (Germany),2006/07,Bochum,17,1.3529411764705883,1.7647058823529411,14.470588235294118,8.529411764705882,1.6470588235294117,17,1.5294117647058822,1.1764705882352942,13.235294117647058,7.588235294117647,1.8235294117647058,-0.17647058823529393,1.2352941176470598
Bundesliga (Germany),2006/07,Cottbus,17,1.2352941176470589,1.2941176470588236,12.823529411764707,6.117647058823529,2.176470588235294,17,1.0,1.588235294117647,10.176470588235293,5.823529411764706,2.7058823529411766,0.23529411764705888,2.647058823529413
Bundesliga (Germany),2006/07,Dortmund,17,1.1176470588235294,1.0,15.764705882352942,9.352941176470589,1.8823529411764706,17,1.2941176470588236,1.5294117647058822,11.705882352941176,6.647058823529412,1.8823529411764706,-0.17647058823529416,4.058823529411766
Bundesliga (Germany),2006/07,Ein Frankfurt,17,1.2352941176470589,1.7647058823529411,16.41176470588235,8.647058823529411,1.4705882352941178,17,1.4705882352941178,1.6470588235294117,11.176470588235293,6.0588235294117645,1.1176470588235294,-0.23529411764705888,5.235294117647058
Bundesliga (Germany),2006/07,Hamburg,17,1.2941176470588236,1.1176470588235294,16.11764705882353,9.529411764705882,1.5294117647058822,17,1.2352941176470589,1.0588235294117647,13.823529411764707,7.764705882352941,2.235294117647059,0.05882352941176472,2.2941176470588225
Bundesliga (Germany),2006/07,Hannover,17,1.3529411764705883,1.411764705882353,15.529411764705882,8.294117647058824,1.3529411764705883,17,1.0588235294117647,1.5294117647058822,11.058823529411764,5.176470588235294,1.7058823529411764,0.2941176470588236,4.470588235294118
Bundesliga (Germany),2006/07,Hertha,17,1.7058823529411764,1.4705882352941178,13.117647058823529,8.470588235294118,2.0,17,1.2352941176470589,1.7647058823529411,12.352941176470589,7.294117647058823,2.1176470588235294,0.47058823529411753,0.7647058823529402
Bundesliga (Germany),2006/07,Leverkusen,17,1.6470588235294117,1.3529411764705883,16.235294117647058,8.764705882352942,2.0588235294117645,17,1.5294117647058822,1.5294117647058822,12.588235294117647,6.764705882352941,2.235294117647059,0.11764705882352944,3.6470588235294112
Bundesliga (Germany),2006/07,M'gladbach,17,0.8823529411764706,0.9411764705882353,13.882352941176471,6.764705882352941,1.5294117647058822,17,0.47058823529411764,1.6470588235294117,10.235294117647058,5.823529411764706,2.0588235294117645,0.4117647058823529,3.647058823529413
Bundesliga (Germany),2006/07,Mainz,17,1.1764705882352942,1.6470588235294117,13.588235294117647,7.411764705882353,1.588235294117647,17,0.8235294117647058,1.7058823529411764,11.058823529411764,5.9411764705882355,1.7647058823529411,0.3529411764705883,2.5294117647058822
Bundesliga (Germany),2006/07,Nurnberg,17,1.5294117647058822,0.9411764705882353,16.058823529411764,8.882352941176471,1.9411764705882353,17,1.0,0.9411764705882353,12.823529411764707,6.647058823529412,2.0588235294117645,0.5294117647058822,3.235294117647058
Bundesliga (Germany),2006/07,Schalke 04,17,1.7647058823529411,0.6470588235294118,19.41176470588235,10.529411764705882,1.4705882352941178,17,1.3529411764705883,1.2352941176470589,11.941176470588236,6.9411764705882355,2.411764705882353,0.4117647058823528,7.470588235294116
Bundesliga (Germany),2006/07,Stuttgart,17,1.7647058823529411,0.7647058823529411,18.647058823529413,10.117647058823529,1.1764705882352942,17,1.8235294117647058,1.411764705882353,15.352941176470589,9.176470588235293,1.8235294117647058,-0.05882352941176472,3.2941176470588243
Bundesliga (Germany),2006/07,Werder Bremen,17,1.9411764705882353,1.0588235294117647,18.0,10.529411764705882,1.7647058823529411,17,2.5294117647058822,1.2941176470588236,16.176470588235293,10.0,2.0588235294117645,-0.588235294117647,1.8235294117647065
